Date - Time,Hora,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDV
1-Jan-17,00:00,3.77,,,,6,206,,720.5,0,72,11.8,0.007,18.71,8.8,22
1-Jan-17,01:00,3.01,,,,5,373,349,720.1,0,64,16.7,0.007,19.67,13.1,24
1-Jan-17,02:00,1.8,,,,4,343,187,719.6,0,51,16.1,0.007,22.33,12.9,19
1-Jan-17,03:00,2.11,,,,4,124,101,719.5,0,58,13.7,0.007,20.51,9.1,14
1-Jan-17,04:00,1.77,,,,4,142,81,719.1,0,60,11.9,0.007,20.22,9.2,10
1-Jan-17,05:00,1.77,,,,3,67,47,719.5,0,66,10.8,0.007,19,7.3,14
1-Jan-17,06:00,1.6,,,,3,67,52,719.9,0,69,10.2,0.007,18.48,7.6,15
1-Jan-17,07:00,1.71,,,,3,51,40,720.6,0,73,9.7,0.01,17.66,5.7,15
1-Jan-17,08:00,1.97,,,,4,63,58,721,0,76,9.6,0.052,17.38,4.6,22
1-Jan-17,09:00,1.87,,,,7,88,48,721.8,0,71,10,0.121,19.11,4.8,21
1-Jan-17,10:00,1.72,,,,18,91,39,722,0,58,10.9,0.264,22.62,5.8,22
1-Jan-17,11:00,1.5,,,,33,79,53,721.8,0,58,34.6,0.333,22.97,14.7,10
1-Jan-17,12:00,1.42,,,,43,91,50,720.9,0,54,61,0.444,24.61,16.5,11
1-Jan-17,13:00,1.33,,,,43,91,33,719.8,0,47,19.7,0.418,26.3,17.3,12
1-Jan-17,14:00,1.32,,,,46,55,21,719,0,45,14.2,0.393,27.07,18.1,19
1-Jan-17,15:00,1.31,,,,47,41,20,718.6,0,43,12.7,0.308,27.7,15.9,20
1-Jan-17,16:00,1.33,,,,44,32,,718.2,0,44,11.4,0.174,27.1,17.3,13
1-Jan-17,17:00,1.35,,,,37,39,26,718,0,47,10.4,0.029,25.11,11.2,18
1-Jan-17,18:00,1.55,,,,18,34,23,718,0,53,9.7,0.008,23.45,8,32
1-Jan-17,19:00,1.64,,,,12,47,27,718,0,60,9.4,0.007,22.2,6.9,30
1-Jan-17,20:00,1.77,,,,6,49,29,718.2,0,61,9.3,0.007,21.75,9.3,40
1-Jan-17,21:00,1.75,,,,4,53,26,718.3,0,66,9.4,0.007,20.64,6.4,26
1-Jan-17,22:00,1.76,,,,3,40,28,718.6,0,71,9,0.007,19.67,6.1,38
1-Jan-17,23:00,1.86,,,,3,43,30,718.4,0,77,9,0.007,18.82,4.9,22
2-Jan-17,00:00,2,,,,3,47,33,718.6,0,84,8.9,0.007,17.39,3.5,40
2-Jan-17,01:00,1.95,,,,,41,22,718.7,0,84,8.8,0.007,17.24,5.5,46
2-Jan-17,02:00,1.72,,,,,51,17,718.8,0,80,8.8,0.007,17.42,8.7,48
2-Jan-17,03:00,1.57,,,,,51,22,718.8,0,82,8.9,0.007,16.36,4.5,41
2-Jan-17,04:00,1.46,,,,,48,14,719.1,0,83,8.7,0.007,15.68,4.5,40
2-Jan-17,05:00,1.44,,,,,35,15,719.4,0,82,8.5,0.007,15.52,6.1,27
